,placeId,lokasi,provinsi,city,timezone,latitude,longitude,hari,prediksi_hujan,temperatureMin,temperatureMax,waktu,timestamp,kondisi_siang,kondisi_malam
43,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Rabu,0.0,22.0,31,2023-01-11T07:00:00+0700,2023-01-11 00:00:00,Sebagian Besar Berawan,Sebagian Besar Berawan
44,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Selasa,0.0,22.0,31,2023-01-10T07:00:00+0700,2023-01-10 00:00:00,Sebagian Berawan,Hujan Curah Pagi Buta
45,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Senin,0.0,22.0,31,2023-01-09T07:00:00+0700,2023-01-09 00:00:00,Sebagian Berawan,Hujan Ringan Pagi Buta
46,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Minggu,0.0,22.0,30,2023-01-08T07:00:00+0700,2023-01-08 00:00:00,Sebagian Berawan,Berawan
47,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Sabtu,0.0,22.0,29,2023-01-07T07:00:00+0700,2023-01-07 00:00:00,Hujan Ringan Pagi,Berawan
48,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Jumat,0.0,22.0,31,2023-01-06T07:00:00+0700,2023-01-06 00:00:00,Sebagian Besar Berawan,Hujan Pagi Buta
49,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Kamis,0.0,23.0,31,2023-01-05T07:00:00+0700,2023-01-05 00:00:00,Sebagian Besar Berawan,Badai Petir Larut Malam
50,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Rabu,0.0,22.0,31,2023-01-04T07:00:00+0700,2023-01-04 00:00:00,Sebagian Besar Berawan,Berawan
51,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Selasa,0.0,22.0,31,2023-01-03T07:00:00+0700,2023-01-03 00:00:00,Sebagian Besar Berawan,Berawan
52,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Senin,0.0,22.0,31,2023-01-02T07:00:00+0700,2023-01-02 00:00:00,Sebagian Berawan,Berawan
53,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Minggu,0.0,22.0,31,2023-01-01T07:00:00+0700,2023-01-01 00:00:00,Sebagian Besar Berawan,Sebagian Besar Berawan
54,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Sabtu,0.0,21.0,32,2022-12-31T07:00:00+0700,2022-12-31 00:00:00,Sebagian Besar Berawan,Sebagian Besar Berawan
55,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Jumat,0.51,22.0,31,2022-12-30T07:00:00+0700,2022-12-30 00:00:00,Sebagian Besar Berawan,Hujan Ringan Pagi Buta
