,Indonesia,Nangroe Aceh Darussalam,Bali,Bengkulu,Daerah Istimewa Yogyakarta,Dki Jakarta,Jambi,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Lampung,Nusatenggara Barat,Nusatenggara Timur,Sulawesi Tengah,Sulawesi Tenggara,Sumatera Barat,Sumatera Utara,Bangka Belitung,Banten,Gorontalo,Papua Barat,Jawa Barat,Kepulauan-riau,Maluku,Maluku Utara,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Utara,Sumatera Selatan
1960,2779.72,2515.53,2132.81,2987.04,2351.35,2679.7,2997.69,2921.8,2095.12,3115.31,2536.17,2761.46,2562.05,2851.62,1654.85,1819.16,1904.34,2607.05,2871.99,2802.06,3295.68,3572.77,2093.91,3084.38,3190.89,2493.95,2569.35,2258.84,3077.79,2549.61,2731.53,3020,2327.98,3172.64
1961,2486.62,2448.3,1262.66,2194.25,1665.53,1787.1,2057.1,2061.22,1580.46,3107.52,2019.65,2439.9,2166.01,1826.31,1271.05,2025.43,1782.9,2186.55,1970.65,2536.59,2190.65,2384.6,2041.73,3046.36,2059.84,2351.27,2319.89,2066.11,3416.57,1990.93,2449.81,2539.29,2461.33,2047.21
1962,2956.02,2133.99,2073.61,3056.95,2202.42,2512.1,3234.87,2965.77,2211.56,3421.32,2722.11,3078.98,2853.17,2500.74,1719.88,1936.72,1851.33,2231.92,3155.44,2607.88,3037.37,3105.29,2250.2,3642.3,3175,2641.44,2202.63,2124.09,3594.91,2721.95,2703.16,2671.77,2868.84,3043.79
1963,2421.2,2109.71,2004.59,2132.55,1554.19,1766.6,1917.03,2102.26,1731.96,2996.98,2228.34,2436.25,2568.49,1813.29,1665.85,1785.94,1740.83,1639.3,2028.5,2439.42,2195.03,2121.42,1981.56,2869.67,1757.69,2188.61,2464.06,2176.15,3137.92,1873.8,2415.74,2083.49,2256.4,2024.23
1964,2952.2,2371.99,2604.1,2856.68,2249.28,2122.9,2944.72,3107.92,2320.9,3672.29,2644.55,3192.88,2513.69,2537.69,2071.57,1980.08,1965.45,2792.59,2884.15,2703.13,3109.1,3309.65,2032.9,3402.44,3088.17,3116.62,2397.68,2070.41,3577.81,2733.83,2842.96,3078.7,2284.73,2892.2
1965,2407.77,2394.77,1379.44,2646.01,1744.97,2290.6,2546.12,2182.98,1434.18,2826.82,2008.59,2399.27,2389.7,2332.42,1267.41,1304.06,1630.28,1321.4,2724.8,2695.53,2412.93,2796.22,1847.86,2632.82,2319.95,2427.19,1654.58,1758.94,2913.78,2469.65,2380.93,1990.26,2057.37,2496.89
1966,2770.33,2467.92,2082.34,2959.31,2560.83,2000.6,2865.14,2663.78,2162.1,3504.84,2605.56,2933.26,2487.22,2469.47,1698.68,1580.66,1838.86,1974.87,2714.86,2814.43,3215.08,2666.6,1970.06,2629.79,2794.47,2686.58,2181.08,2140.89,3385.35,2528.24,2571.68,2417.82,2157.87,3160.36
1967,2496.89,2245.83,1544.94,2286.05,1763.01,1828.8,2117.45,2215.97,1651.03,3112.28,2430.95,2534.52,2384.81,2122.42,1406.48,1297.56,1742.31,1678.21,2133.44,2344.65,2300.81,2301.1,1980.87,2931.42,2022.05,2893.17,2010.42,1914.75,3397.69,2190.39,2555.96,2266.89,2224.66,2191.29
1968,2845.64,2110.12,3054.91,2940.67,3182.08,2799.8,2768.35,3843.54,2823.44,3397.21,2802.46,3062.9,2613.34,3155.25,2269.47,2583.72,1878.51,2583.8,2751.6,2545.02,2988.44,3964.16,2176.2,2826.65,3582.5,2586.15,2242.6,2133.01,3011.84,2418.9,3096.9,3194.97,2568.09,2992.61
1969,2666.8,2372.15,1467.01,2748.22,1787.69,1975.5,2829.93,2274.76,1669.13,3857.81,1871.67,2675.37,2305.86,2254.94,1335.98,1657.8,1676.67,1594.79,2935.62,2626.68,2957.38,2567.4,1818.5,3031,2473.94,2743.8,2245.17,2190.34,3310.44,2570.03,2419.01,2209.25,1841.81,2750.64
